rank,stadium,capacity,region,country,city,images,home_team
180,Aleppo International Stadium,"53,200",West Asia,Syria,Aleppo,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Aleppo_International_Stadium%2C_day_view%2C_2009_%281%29.jpg/220px-Aleppo_International_Stadium%2C_day_view%2C_2009_%281%29.jpg,Al-Ittihad
181,Estadio Nacional,"53,086",South America,Peru,Lima,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Estadio_Nacional_nuevo_07_10_2011.jpg/220px-Estadio_Nacional_nuevo_07_10_2011.jpg,Peru national football team
182,Huanglong Stadium,"52,672",East Asia,China,"Hangzhou, Zhejiang",https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Hangzhou-yellow-dragon-stad.jpg/220px-Hangzhou-yellow-dragon-stad.jpg,Hangzhou FC
183,RAMS Park,"52,652",Europe,Turkey,Istanbul,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Galatasaray_Arena_North-West_Corner.jpg/220px-Galatasaray_Arena_North-West_Corner.jpg,Galatasaray
184,Suncorp Stadium,"52,500",Oceania,Australia,"Brisbane, Queensland",https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Suncorpstadium071006a.JPG/220px-Suncorpstadium071006a.JPG,"Brisbane Broncos, Queensland Maroons, Brisbane Roar FC, Queensland Reds"
185,St. James' Park,"52,405",Europe,England,"Newcastle upon Tyne, North East",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/StJamesParkPanorama.jpg/220px-StJamesParkPanorama.jpg,Newcastle United
186,Kings Park Stadium,"52,000",Africa,South Africa,"Durban, KwaZulu-Natal",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Kings_Park_panorama.jpg/220px-Kings_Park_panorama.jpg,"Lamontville Golden Arrows, Cell C Durban Sharks"
187,Newlands Stadium,"51,900",Africa,South Africa,"Cape Town, Western Cape",https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Proudly_South_African.jpg/220px-Proudly_South_African.jpg,
188,Hampden Park,"51,866",Europe,Scotland,Glasgow,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Hampden_Park%2C_January_2023.jpg/220px-Hampden_Park%2C_January_2023.jpg,"Scotland national football team, Queen's Park"
189,Estadio Monumental de Maturín,"51,796",South America,Venezuela,Maturín,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Monumental_de_maturin_3.jpg/220px-Monumental_de_maturin_3.jpg,Monagas Sport Club
190,Loftus Versfeld Stadium,"51,762",Africa,South Africa,"Pretoria, Gauteng",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Loftus_Versfeld_Game_Night.JPG/220px-Loftus_Versfeld_Game_Night.JPG,SuperSport United and Vodacom Pretoria Bulls
